name,price,rating,reviews,url,source
Leeve Dry Fruits Brand Chocolates | Combo Pack | Dates Chocolate Coated | Nuts | 200 gram Pack | Chocolate Covered Raisins...,499.0,,,https://www.amazon.in/dp/B0B8N6GG2F,amazon
EAT BETTER CO Anmol Rakhi Gift Hamper - 7 Items Combo Pack - Chocolate Coated Almonds & Cashews - Four packets of Dry Frui...,599.0,4.3,,https://www.amazon.in/dp/B0C61CNDD6,amazon
Leeve Dry Fruits Brand | Premium | Birthday gift Hampers | Fruit Nut Chocolate | 200 Gm | Walnut |Cashew Nut | Gold | Lave...,499.0,5.0,,https://www.amazon.in/dp/B0BNVXT7X2,amazon
"Bhai Dooj Gift Set for Brother- Chocolate and Dry Fruit Combo with Tika/Tikka Set,Tilak,Chawal,Chandan,Mishri,Greeting Car...",399.0,4.0,,https://www.amazon.in/dp/B0FPX1RJKL,amazon
"DeoDap Choco Chocolate Combo – Assorted Nuts Flavored Chocolate Gift Box, Coated Dry Fruits & Crunchy Sweet Treat – Perfec...",249.0,,,https://www.amazon.in/dp/B0FV8J56X3,amazon
Leeve Dry Fruits Brand | Premium | Birthday gift Hampers | Fruit Nut | 200 Gm | Cashew | Almond | Pista | Raisins | Dry Fr...,499.0,4.0,,https://www.amazon.in/dp/B0BN1Y2S5Z,amazon
"Nutty Gritties Dry Fruits Gift Box 400g | Roasted Salted Almonds, Cashew Nuts, Pistachios, Mix Berries,(Each 100g) with Re...",1099.0,4.3,,https://www.amazon.in/dp/B0849QZ7HW,amazon
Rakhi with Dry Fruit Almond and Chocolate Combo Pack with Set of 4 Premium Fancy Rakhi -Super Sweet Rakshabandhan Gift Hamper,679.0,3.2,,https://www.amazon.in/dp/B0FGXZY32N,amazon
Chocolian Premium Chocolate Combo | Dark Almonds & Dark Fruit & Nuts | Rich Indulgent Bars with Real Nuts & Dry Fruits | G...,375.0,3.5,,https://www.amazon.in/dp/B0CWCVZM4D,amazon
Bhai Dooj Gift Hamper Tray with Tikka/Tika Set-Dry Fruit n Chocolate Combo | Super Sweet Premium Gift Hamper for Elder or ...,649.0,4.0,,https://www.amazon.in/dp/B0FPX75ZQS,amazon
"DeoDap Choco Chocolate Combo – Butterscotch & Almond Flavored Chocolate Gift Box, Coated Dry Fruits & Crunchy Sweet Treat...",169.0,,,https://www.amazon.in/dp/B0FV8PYH9Z,amazon
"Oriole Gifts Rakhi Hamper for Brother with 1 Rakhi, 8 Chocolates and Dry Fruits | Rakhi with Gift Combo for Brother and Bh...",849.0,3.6,,https://www.amazon.in/dp/B0DB65ZM2Z,amazon
"DeoDap Choco Chocolate Combo – Butterscotch & Assorted Nuts Flavored Chocolate Gift Box, Coated Dry Fruits & Crunchy Sweet...",169.0,,,https://www.amazon.in/dp/B0FV8RRH1Z,amazon
"BOGATCHI Chocolate Coated Assorted Nuts and Fruits, New Year Special Rich Dry Fruit Collection Gift , 100g + Free New Year...",234.0,3.4,,https://www.amazon.in/dp/B07KT85MQC,amazon
"Pintola High Protein Muesli Dark Chocolate & Cranberry 400g, 24g Protein, High Fibre, Trans Fat Free with Brown Sugar, Rea...",295.0,4.4,,https://www.amazon.in/dp/B0D86Y26XQ,amazon
"Rakhi for Kids Combo Set of 2,Chota Bheem and Cute Bhai Rakhi with Dry Fruit & Chocolate Combo for Kids Boy,Kids Girl,Chil...",399.0,5.0,,https://www.amazon.in/dp/B0D7J3PQGL,amazon
"Leeve Dry Fruits Choco Coated Cashew, Raisin, Almonds (200gm) Combo Pack | High Fiber & Rich In Protein | Chocolate Coated...",1058.0,,,https://www.amazon.in/dp/B0F6NKDMVZ,amazon
"Oriole Gifts Rakhi Hamper for Brother and Bhabhi with Kunafa Chocolates, Dry Fruits Nutties and Almond Brittles | Bhaiya B...",999.0,4.6,,https://www.amazon.in/dp/B0CCF2ZSZ2,amazon
Ruchoks Dates Chocolate | Healthy Sweet Treat | Dry Fruit Chocolate Gift Pack | 10 Pieces Combo | Natural Sweetness Chocolate,310.0,,,https://www.amazon.in/dp/B0FK5169GV,amazon
"Omay Foods 10 Pcs Sparkling Delights Gift Hamper | Healthy Snacks, Dry Fruits, Herbal Tea & Chocolate | Corporate Gift, Em...",765.0,4.1,,https://www.amazon.in/dp/B0BDFTF7BQ,amazon
